time,alert,pnl,option_pnl
"May 03, 11:34 AM",SPX Bull Pivot gain (10m) since last alert at 2023-05-03 11:24:00: $0.03 - SPXW_050323C4115: $-1.0,0.03,-1.0
"May 03, 02:00 PM","SPX Bull Pivot gain (5m) since last alert at 13:53:00: $12.16, SPXW_050323C4130: $5",12.16,5
"May 03, 02:23 PM","20% gain on call. SPX Bull Pivot gain since last alert at 2023-05-03 14:07:00: $3.25, SPXW_050323C4130: $5",3.25,5
"May 03, 02:48 PM",SPY Bull Pivot gain (10m) since last alert at 2023-05-03 14:38:00: $0.88 - SPY_050323C412: $-0.35,0.88,-0.35
"May 03, 02:58 PM",SPX Bull Pivot loss (10m) since last alert at 2023-05-03 14:48:00: $-3.48 - SPXW_050323C4130: $-3.24,-3.48,-3.24
"May 03, 03:15 PM",SPY Bull Pivot loss (10m) since last alert at 2023-05-03 15:05:00: $-2.09 - SPY_050323C412: $-0.92,-2.09,-0.92
"May 03, 03:27 PM",SPY Bull Pivot gain (10m) since last alert at 2023-05-03 15:17:00: $0.4 - SPY_050323C410: $-0.16,0.4,-0.16
"May 04, 10:04 AM",SPX Bull Pivot gain (10m) since last alert at 2023-05-04 09:54:00: $1.58 - SPXW_050423C4065: $-1.9,1.58,-1.9
"May 04, 10:26 AM",SPY Bull Pivot loss (10m) since last alert at 2023-05-04 10:16:00: $-1.17 - SPY_050423C405: $-0.42,-1.17,-0.42
"May 04, 10:48 AM","20% gain on call. SPX Bull Pivot gain (10m) since last alert at 2023-05-04 10:37:00: $10.08, SPXW_050423C4050: $6",10.08,6
"May 04, 12:13 PM","SPX Bull Pivot loss (10m) since last alert at 2023-05-04 12:03:00: $-2.06, SPXW_050423C4050: $-2",-2.06,-2
"May 04, 12:58 PM","20% gain on call. SPX Bull Pivot gain since last alert at 2023-05-04 12:46:00: $5.85, SPXW_050423C4060: $3",5.85,3
"May 04, 01:05 PM",SPX Bull Pivot gain (10m) since last alert at 2023-05-04 12:55:00: $7.1 - SPXW_050423C4060: $2.7,7.1,2.7
